"date","TagID","travel_adj","period","sum_p","mean_r","mean_t","mean_w"
2024-07-08,"Tag_14",178.712179508265,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_8",32.8758061031471,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_19",40.2650929981576,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_3",14.03928534487,"after",0,645.4,16.11,2.20166666666667
2024-07-08,"Tag_21",31.7981227415575,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_19",10.4681636098007,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_20",30.1346562811335,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_13",90.0020791608693,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_3",42.70010813534,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_14",40.6398982492932,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_5",43.9513605326432,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_11",57.555362090331,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-08,"Tag_8",131.530910206921,"before",0,372.866666666667,15.2766666666667,0.837
2024-07-09,"Tag_5",69.6885619540973,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_13",164.50655306927,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_19",186.622668090372,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_11",136.547607028033,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_20",164.99514321836,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_3",162.778496884155,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_14",307.611589687874,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_8",168.297012033347,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_21",98.6867720900566,"after",0.414,184.1,16.6533333333333,1.69833333333333
2024-07-09,"Tag_20",166.817469286947,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_21",113.251819366158,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_5",86.0630384800041,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_8",116.880969088796,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_3",117.80551823743,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_19",85.5636845563828,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_13",158.790743984283,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_11",123.134213503436,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-09,"Tag_14",109.173827058567,"before",0,162.066666666667,15.2766666666667,2.15633333333333
2024-07-10,"Tag_21",155.131641495228,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_11",106.88947821232,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_3",108.05216544797,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_20",175.232777782194,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_8",126.920556132201,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_5",85.5317116087693,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_13",171.570792263938,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_19",90.0343479312001,"after",0,538.4,15.5366666666667,4.27033333333333
2024-07-10,"Tag_14",279.019617396777,"after",0,538.4,15.5366666666667,4.27033333333333
